이름,생성일,스킬,프로젝트 타입
하우스 가격 예측 모델 만들기,2023년 12월 4일 오전 11:47,,개인
에어비엔비 가격 & 수용률 분석,2023년 12월 4일 오전 11:47,태블로,개인
